proj_unixname	description
a-lms	Open Source Learning Management System implemented in Java.  Implemented by Rubecula Software, LLC.  An integral part of Automatic e-Learning by TRA.  Conforms to SCORM 1.2.  Built on open-source platforms: ADL SCORM RTE, Hsqldb, Tomcat, Commons, etc.
a-m-s	AMS(Automated Manufacturing System) is a model of real world manufacture factory. It consists of  dedicated stations that perform tasks. All stations or components of the system are modeled by using CD++ based on the DEVS formalism.
a-monolit	Ez egy RPG Maker XP-vel készített kalandjáték.
a-muse	aMUSE is an GPL system in PHP that controlls Shoutcast servers and allows an existing community to have their members DJ on one or more shoutcast streams. It supports: scheduling, ratings, comments and more.
a-muse-3d	Project for 2D/3D graphics middleware hobbiyst to learn and contribute to a platform independent object oriented graphics middleware libraries, tools and applications.
a-muse-d	A-Muse-d is an acqua-based theme for Fluxbox.
a-not-bc	At first the project is a translation/adaptation of an existing website. The second aim is conding orther useful application like calendar, hall of fames, lecture notes...
a-one	The Acahatz A-One is a replica of the old Apple I. It is a mix of old and new style electronics. The 6502 and 6821 are the heart of the system. The rest is controlled with a GAL and two Atmel MPU&#039;s. New software required!
a-plus	A+ is a web-based educational testing program written in PHP/MySQL.  Students learn lessons and take multiple-choice tests.  Teachers can view students&#039; scores, and create and edit tests. Administrators can create classes and control enrollment.
a-r-a-p	Secure audit implementation
a-r-e-a	A.R.E.A  This software will be used by educational institutions in the proccess of registration, administration, class room assignments and enrollment.
a-renet	a-renet is a distributed chat and multiplayer games network for UNIX. Supported games are client-server, TCP based games.
a-s-k	Active Spam Killer (ASK) protects your email account against spam by confirming the sender&#039;s email address before actual delivery takes place. The confirmation happens by means of a &quot;confirmation message&quot; that is automatically sent to all 
a-s-t	Another System Tool is an open source application for System Administrators. It gathers hardware, software, and other environment information. The idea was to develop an application in spirit of ABC (Another Bittorrent Client). ***Hense the name
a1kbms	A1 - Knowledge Base Managment System
a247dialer	Currently an Asterisk based predictive dialer, 247dialer strives &quot;to create a world class solution to automate a call center deployment and operations in a simple, flexible and powerful manner&quot;.
a2bformat	Converts A-Format audio to B-Format ambisonic audio using the simplest method: a basic matrix multiply. A-Format is 4-channel audio direct from a minimal volume tetrahedral array of cardioid microphones. B-Format is the 4-channel ambisonic format.
a2billing	A2Billing is a Calling-Card &amp; billing Platform based on Asterisk PBX, it&#039;s a professional and powerful billing solution, post &amp; pre-paid oriented!  Real time call rating, billing, auditing, and reports.
a2bitblog	A 2 bit blog is a simple bulletin board, blogging web application that spawned from bit5blog. Its goal is to be straightfoward to setup, easily customized through html templates, and to provide enchanced security above and beyond its predecessor.
a2c	A2C is a project (in planning mode) for web developers, as to how they can transfer files directly from the source website (A) to destination website (C) without the files being downloaded to their location (B). The ideas is A=B and B=C then why not A2C.
a2d	a2d is a web-based system for meeting planning, agenda and minutes generation. It is flexible enough to cope with both the simplest stand-alone committee and environments involving numerous committees - calendar driven or ad-hoc.
a2dp-python	Partial realization of A2DP and AVRCP bluetooth profiles. Simple multi-client server sends pcm audio (alsa or gstreamer &quot;tee&quot; and &quot;file&quot; plugins) to bluetooth stereo headphones. AVRCP server emulates lircd. Works with xmms, audacious,
a2gameserver	This java (v1.5) program allows you to send games directly to an old apple // computer with no need for floppies, only a serial cable.  No hardware modification is necessary, you only need a working serial connection.
a2ixlibrary	Convert standard C Amiga link libraries into dynamic shared libraries.
a2j	An ASN to Java Stub Compiler.
a2kmp	A set of opensource MediaPortal plugins and addon libraries.
a2open	Demonstrative Open Source replacement for the German governmental A2LL system (for managing unemployment benefits). Since many are the opinion that the development was a huge waste of public money, this project shall prove that it can be done cheaper.
a2pix	This program will open and display images saved in HGR format. Also supports DHGR in two popular formats: BeagleGraphics and DazzleDraw. It will save as PICT and allow batch conversions.
a2png	Converts plain ASCII text into PNG bitmap images.
a2speedholder	ADSL 2 Plus Speedholder Tool. For holding a high sync and connection rate.
a2x	pure-java (non ODBC/JDBC) converter from M$ Access97 to XML. dumps access tables as a series of xml elements. Works by parsing directly from hex (OS/lib independent). Uses standard JDK1.4 classes. A2K support to be added at some stage. Anyone with info o
a2z	A?Z is a simple and efficient web-based contact management software that runs on PHP and MySQL. You can use it to replace your phonebook or even use it as an office-wide phone directory. It is all yours to decide!
a340gc	Airbus A340 glass cockpit. Build upon an open framework for creating an distributed glasscockpit.
a3b	a3b - ascii / ansi art browser for linux / mac / win32, written in qt4, features - printing - export to png - zoom - eleet autoscroll - configurable fore/background color - 80x50, 80x25, amiga fonts
a3dge	A3DGE will be an environment that allows to create a complete 3D game with no (or minimal) programming knowledge. Just define some 3D object, some maps, the game goal and, if necesary, some small scripts and here you have, your 3D game!
a3dspaceshooter	A 3D Space Shooter. Based on the game &quot;Star Fox&quot;.
a4codegen	A collection of code generators, they generate code from a random seed or from provided input.
a4e5	2D/3D Game Engine for use in game creation as well as easy RAD.
a4fighter	A4Fighter is a FPS made with paper planes
a4j	A4J is a Free Open Source Java API for Amazon.com\\&#039;s XML Web Service.  The API eliminates the need to work with XML at all, the API handles all web service requests to and from Amazon.com and returns an easy to use Java bean. It also supports Cachin
a4l	Access for linux databasetool
a4xmessage	An xmessage replacement for operator use on X based multisystem installations.
a52source	A52 (AC3) audio streams source plug-in for AVISynth 2.0x/2.5x.
a6d4	This Shit Rules Dude u better try it
a6driver	This is the Original source code, documentation, SDK, and drivers for the printer driver for Sipix A6 printer. A6 printer has been discontinued, Original Sipix drivers support Palm OS up to 4.x, and Pocket PC devices running Windows CE 2.0-3.1. As well a
a6fw	A framework for creating CRUD based applications utilizing MDA, and a very pluggable architechure.  eg: 2-tear / 3-tear.  Web based / Rich Swing Client.
a760	A760 includes the GPL&#039;d sources of Motorolas A760 Linux smartphone
a7xpg	Collect all the gold, while avoiding the enemies. Collect enough gold, and turn the tables on the enemies.
aa-project	AA means Ascii Art - the AAlib (ascii art GFX library), BB (audiovisual demonstration for your terminal), aview (image browser/animation player), AAvga (SVGAlib wrapper for AA-lib), ttyquake (text mode quake), aa3d (random dot stereogram generator)...
aa33code	aa33code aims to be an easy to install, use, and maintain content management system (CMS).  It has basic features, and can be administered and updated by multiple users.  It&#039;s written in PHP and uses a MySQL database to store the information in.
aaa	Advanced Audio Architecture is server based architecture to publish, manage and distribute digital music through streaming and download to multiple, different type of clients high end reproduction and the most flexible and versatile system thinkable.
aaaaaaaaaa	aaaaaaaaaa
aaaadmin	This open source solution will let you to administer any of popular opensource radius server-freeradius/gnuradius/openradius. It will give the freedom to chose data source among LDAP, SQL(MySQL/Posrtgresql), and files
aaapage	aaapage (pronounced ape-udge) is AAAP&#039;s Action Game Engine (GPL), aims to provide optimized sprite animation, paralax scrolling, and scriptable maps, to game developers. Along with the engine, a game and map editor are also included in the project.
aaasoai	AAAS benchmarks OAI data provider
aab	Automatic ezine creation tool
aabrowse	AABrowse is a server browser for America&#039;s Army written in QT. It supports both Gamespy and Andromeda master servers, buddy lists, favourites, and player search.
aabsdbc	The DBC framework uses reflection to inspect a type, it then generates source for a proxy object containing checks on predicates in attributes attached to members of the type. Proxy code is compiled into an in-mem assembly used to enforce DBC rules.
aabsnorm	An Object Relational Mapping (ORM) System Based on Scott Ambler&#039;s designs. Koan has a powerful and highly extensible code generation system and is designed for production use within an enterprise environment.
aac-xforms	The goal of the project is to implement most of XForms for Cocoon. The current &quot;XMLForms&quot; approach followed by the Coccon project seems too restrictive. This project should allow most XForms models to be used in the Cocoon environment unmodied.
aacheatscan	AA Cheat Scanner is an application that clan leaders can use inorder to scan there members PC for americas army hacks in windows.
aacls	The AACLS acronym stands for &quot;Advanced ACL Server&quot;. This is an OpenLDAP server backend, in other words, a LDAP content filtering gateway based on an ACL langage used to describe relations between entries. Patches is now released under OpenLDAP 
aacplayer	This project aims to provide Windows Direct Show based components and applications.
aacplugin	AAC player for XMMS.
aacraid-22	All POSIX (Linux/BSD/UNIX-like OSes)
aadataminer	AA DataMiner is a Java library, based on the Weka API for knowledge analysis. It provides graphical tools for applying data mining techniques on XML data, enabling output in PMML format. It also introduces several new data mining techniques.
aadit	Object oriented language developed in C#, containing an IDE, language compiler, supporting windows programming as well as web based programming.
aadl2xml	AADL to XML Translator
aadml	Advanced and Discrete Mathematics Library for Python
aadms	Adaptive Application Data Management Services
aae	Alpha Architecture Emulator (AAE) is an emulator family to emulate DEC&#039;s/Compaq&#039;s/HP&#039;s Alpha (AXP) processor based computer architecture. AAE-Bronze, a member of this family is a portable emulator, written in C, running on Linux, Windows, 
aaf	A cross-platform SDK for AAF. AAF is a metadata management system and file format for use in professional multimedia creation and authoring. The AAF specification is administered by the AAF Association, which also coordinates development of the SDK.
aaf-edit-pack	Delphi Components for video and audio non-linear editing. The components wrap the Advanced Authoring Format sdk (see aaf project on SourceForge) and provide mpeg file and sequence players, timelines, player controls and timecode processing.
aagam	Aagam is beginning of open source benchmarking for different open source Java components available in the market. This include Logger, Configuration, Queue, StringUtils, FileUtil and ConfigUtil Framework.
aagaming	Project Tracking For Website Development
aai-portal	The AAIportal is an authentication portal for the SWITCHaai infrastructure, based on the Shibboleth middleware, and many e-learning platforms. Resource adapters for WebCT CE4 and CE6, WebCT Vista, VITELS, Gridlab, AdLearn, and some other are available.
aaid	aaid (short for Assignment Aid) is a template tool designed with school (esp. high school &amp; college) assignments in mind. It&#039;s design is closely wrapped in HTML, allowing you freedom in your templates, while also not requiring you to type numero
aaini	AA:INI is used to edit INI files in Americas Army with ease.
aaio	Many people moving from Windows programming to UNIX program have problems with the missing non-blocking getch() and getche() functions provided by  conio.h. This library provides the functionality of getch(), getche() and kbhit().
aajax	Agile AJAX platform will be a simple based on AJAX component and plugin structure.
aakala	The game of Cows-n-Bulls is back ! G-Moo aims to provide a command line as well as GTK+ front-end for the user to play the cows-n-bulls game. Multi-game sessions and relevant session stats are provided, which can be useful to test heuristic algorithms.
aakruthi	Aakruthi is a framework for information and workflow management in schools and colleges written in J2EE.
aal	Another App Launcher (aal), is an app launcher with one purpose, to launch applications, and look good doing it.
aalib-perl	Aalib-perl is a Perl binding for the AA-Lib, an ascii-art gfx library.
aalog	This is a Log Manager for America&#039;s Army Server (Linux/Windows).
aaloha	A configurable system for synchronising multiple passwords of different types. Password quality can be imposed by using histories, cracklib based tests, and forcing certain passwords to be distinct. CGI and PAM modules exist for tight integration.
aalyreth	A role-playing telnet server designed for hack and slash style play yet still hold features for a strict role-play enforced envoirment.  The server is highly configurable(eg: having just levels or levels and classes, ect).  It will hold a unique spell ca
aam6000ug	Asus AAM6000UG (ADSL USB Modem with Alcatel chipset) Linux driver
aambuilder	AAMBuilder is a graphical tool to ease the creation of 2D Active Appearance Models (AAMs), supporting surface triangulation and reference shape. Data files use XML for easy integration. GTK+ and OpenCV are required.
aambuilding	AAM (Active Appearance Model) is one of the hottest research topics in computer vision nowadays. AAM statistically builds a joint shape and texture appearance model, which has been widely applied in face tracking, lip reading, audio-visual HCI, etc.
aamfetch	aamFetch is a utility for fetching your anonymous esub nym messages from the alt.anonymous.messages newsgroup (or other newsgroups). It allows multiple encrypt-subjects to scan, multiple &quot;destination files&quot; to save messages to and random chaff 
aamirplayer	Aamir Media player plays 30 formats of audio/video files with very small size but with great functionality.
aamon	Aamon is a C++ library offering multithreaded synchronization and communication supporting typed mobile objects aimed to client-server application development.
aams	AAMS is a tool for creating simulations visually. It has a library of processing elements (PE), that you can drop on the sim designer.Connect pins between PE, in data path define the control path, and run the simulation. Supports distributed simulations
aamt3dgame	A 3D Game using the JMonkeyEngine. The game has been created for a 3rd year university assignment.
aaniharava	Software which can be used to create and show series of questions to an audience and collect answers.
aanipelit	Finnish  Audio Adventure development group - suomenkielisten äänipelien kehitysryhmä
aanval	OpenAanval - The Open Source version of the Commercial Aanval Console - A full featured advanced Intrusion Detection System (IDS) Console for Snort. Real-time LIVE event monitoring, comprehensive statistics, multi-user, email / audio alerting, IP marking
aaoo	This is the project for IBM ODF accessibility contest. It&#039;s a plug-in for OpenOffice, to make OpenOffice be able to Check whether the documents have been optimized for people who are experiencing vision loss and/or people who are experiencing hearin
aap	The Accelerating Apache Project was SGI&#039;s effort to increase the performance of the Apache HTTP server.  It has a new home now on SourceForge, courtesy of SGI.  Now it seeks a new owner and a fresh start.  Want to help make Apache MORE than 10x fast
aap-ugr	High-performance computing code and libraries used in the High Performance Computing subject in Telecommunications Engineering at the University of Granada (http://geneura.ugr.es/~jmerelo/asignaturas/AAP)
aapbem	Axis &amp; Allies (a Milton Bradley game) is a board game with a strong following. However, as many of our lives become busier and we have less leisure time, it becomes increasingly difficult to schedule time for a good Axis &amp; Allies Game.
aapbss	Automated PunkBuster screenshot public submission system for America&#039;s Army game admins.
aaphpbb	A modification of phpBB which enables users to easily implement a forum in their web site.
aapje	Aapje Messenger aims towards an open, feature filled MSN clone for GNU/Linux using the GTK+-2.0 library, it can already do multiple user chats, filetransfers, storing contact lists, status &amp; nick changing, add/del/block buddies, theming, and much mor
aapp	Pagina Personal de Aldrin Perez dedicada A la Programacion de sistemas Informaticos pagina web en general asi como aplicaciones en php,visual basic,html,c++,fox pro entre otros lenguajes
aappt	Professional Periodic Table is simply the professional solution for chemists that deal with the periodic table elements.
aaps	aaps is a Perl application which accepts a text file as input, and produces an output with the same English meaning, but as many textual changes as possible, while maintaining grammer and spelling.
aarchitect	Adventure Architect is some sort of a document management tool for the creation of adventure games. This tool will help you maintain all the necessary documents and images for your game.
aardbuilder	AardBuilder is a .NET tool made for help AARD OLC Builders to pre-construct their areas without going directly to a builder&#039;s port and write it directly.
aardvark	Aardvark is an Ajax engine that allows variables to be transferred between Client and Server applications without disrupting the GUI
aardvarkfm	This project aims to make a full featured file manager for the Gnome desktop environment. The Aardvark File Manager will be a quick, extensible and highly usable file manager which will integrate natively in Gnome and will have support some for KDE.
aardvarkjava	Build Manager tool. Java Graphical User interface for managing, executing and monitoring Apache Ant Build files and external programs. You can execute multiple ANT build files simultaneously or in a batch.
aardvarktool	Browser based continuous integration(schedulable build) tool for projects residing in cvs repositories, and build using the  apache ant.
aareport	An IRC bot which queries America&#039;s Army Operations game servers and displays a live report of the action in an IRC channel.
aarmed	Open-source advanced gameboy emulator for non-commercial roms.
aaron	Aaron is an application, service, and network availability monitoring and alert daemon.  Notification of unavailable services, networks, etc., levels is sent to the appropriate roles.  Aaron is highly customizable enterprise class monitoring software.
aart	aart converts PNM (PGM, PBM, PPM) images into colored ASCII. It supports user-defined color palletes, PSF fonts, and character sets. It generates a PPM image file or a text file.
aasecurity	Coded in PHP, uses MySQL as a backbone.  Great for programs which use serial numbers and is so easy to use.  It has only a few files, and is easy on the server.
aasgard	** Put on ice while I am looking into the promising Fallout engine FIFE (www.fifengine.de) ** Åsgard is a single player role-playing game inspired by the great emperor of roleplaying games: Fallout. It is 2D and is written using the C++ programming lang
aast	Serial terminal in assembly x86 language that works without operational systems, suport ANSI and can be used on a laptop or notebook to easily and quickly configure routers, switches and other devices that uses serial comm ports
aatcalendario	PHP/AJAX calendar to organize many things. The calendar is dinamic and use MySQL as database. Is multiuser and it can content different kind of users with different permissions.
aatrade	Alien Assault Traders is an online, web-based, turn-based strategy  space trading game forked off the source of both Black Nova Traders and Nova Game Systems software and inspired by the popular BBS game of TradeWars.
aatraders	This game is an AATraders Game and this game is about a player (you) go around space and buliding planets and/or taking planets over. This game requires thinking because sometimes you have your ship too low of a level and the planets are mostly bigger.
aav	A slightly different way of organising your images and videos.
aavalanche	A full-featured, cross-platform CAD environment.
aaventures	A series of amazing adventures on the magical world of Shalara.
aaviewer	aaViewer is simple ASF/AMC files viewer made by python.
aavso-vsr	The AAVSO Variable Star Registry -- an open-source web-based CMS for the controlled single-point management of public domain astronomical metadata on known and suspected variable stars.
aawa	Arrowproject.net&#039;s award system is based upon php and a mysql database. This system allows Internal Affairs to approve Awards/Medals and add them to pfile,afile.
aawebgui	AAWebGUI is a project to help Linux and Windows America&#039;s Army server hosts manage their servers. It allows you to change settings and start/stop the servers via a web interface.
aaxed	This project is on hiatus.
ab-conv	Address Book Converter (AB-Conv) will convert address book files between formats.  Currently, it supports importing Evolution&#039;s vCard format and export to Thunderbird&#039;s LDIF format and Sunbird&#039;s vCalendar file for birthdays and anniversari
ab2foaf	Converts your Address Book into a FOAF description.
ab2phpnuke	A simple block for amazon.com affilate members. You can use with any version of PHPNuke (www.phpnuke.org)
aba	ABPHEL is an application framework for PHP Applications featuring a library of classes which can be used seperatly. It is designed for applications with ease of use in every area. Applications are written by using an implementation of the MVC pattern.
aba-curling	A curling game, It is written in Delphi. Release: 4th April.
abackgammon	ABackgammon (Asynchronous Backgammon) is a set of a server and possibly different clients to provide playing backgammon draw-by-draw. Certain clients may also implement a sole backgammone engine for single playing.
abackupservice	The Apportioned Backup Service (ABS) is a distributed backup service allowing peers to store versioned, encrypted backups for one another with resilience to peer failures and absences.
abacom	We are going to develop an Agent, that will extend phpNuke (later other CMS) with AI.
abacus	Abacus is an educational suite on computing with Alan Turing Machine games, hello world howto documents, etc.
abacuscm	Abacus is a Contest Mangement system for ACM-like contests written in C++, using Qt (on the client-side).
abacuses	ABACUSES is A Bright Costless Universal Statistical End-user Software.
abacusvm	This is a computing architecture which includes a service-oriented language called Abacus, a virtual machine executes Abacus programs, a router program provides naming services and a web-based enviroment for managing and developing Abacus applications.
abaguibuilder	The AbaGUIBuilder is a visual GUI builder written in Java designed to look like the Delphi/VB designers. The Java GUI Builder was conceived to help the application developer  design and create UI Java applications in a rapid manner.
abakus	Academic Information System, developed on postgresql and kylix C++.
abamaxa	Abamaxa is a collection business management and accounting software designed for the growing business.
abaque	This project is aimed at providing a 3-tier-architectured full package that enables to interact from Java application with a database. It is strongly based on the Osage project and adds GUI capabilities.
abashe	Abashe is a WWW server implemented purely in Bash scripting language. It has built-in support for PHP and ABP - Active Bash Pages (PHP-like programming language for server-side applications).
abat	The Automated Basic Acceptance Test (ABAT) code is designed to install a build of software on a target machine, reboot the machine, and run through a series of basic system tests on that machine.
abatools	This project aims at the development of tools for automatic beamline alignment at synchrotron radiation facilities.
abatornet	Abator.NET is a C# version of original Abator. Abator.NET intend to be a code generator for iBATIS. It takes a formal database table (or many tables) and generate iBATIS artifacts that can be used to access the table(s).
abb	Arab-bb is an opensource Bulletin Board .. Written with PHP And  use MySQL As Default, It had greate Templates Engine .. Enjoy it ;)
abbey	This project provides a simple kernel for building distributed agent-based applications. It is based on the idea that the principles underlying dataflow programming are well-suited to design a coordination language for multi-agent environments.
abbot	Abbot is a simple framework for unit and functional testing of Java GUIs.  Facilitates generating user actions and examining component state.  Supports recording and playback  on any Java application.
abbott	AbBott is a simple irc bot that tries to be easy to extend (through the use of simple text &quot;scripting&quot; files), fast (written in C), and useful.
abc	ABC is a text-based music notation language.  This project aims to promote the ABC music notation language by providing cross-platform, open-source tools for manipulating, displaying and playing (via MIDI) ABC files.
abc-123	UGSB is a flatfile PHP coded shoutbox, and should work on all servers with PHP4 or higher. It has all the features of any other shoutbox.
abc-unix	&quot;ABC for Unix&quot; is a port of the famous BitTorrent client &quot;ABC&quot; to *nix operating systems.
abc2php	Webinterface for ABC (Yet Another Bittorrent Client) written in PHP with AJAX
abc2rtttl	An open-source applet for translating the popular abc music format into ring tone text transfer language (rtttl). Play your favourite tune on your mobile!
abcclassifieds	ABC Classified Ads is a light weight full-featured pluggable classified ads component for any website. It is implemented in Javascript and can be plugged into any html page.
abccreator	A texteditor allowing users to create songs according to the abc-standard and play them.
abcdiary	ABCDiary is a blog software. Strongly customizable it allows you to make your weblog better. Official website - http://www.abcdiary.org
abcdoppelganger	ABC Doppelganger is a program to allow remote access to an ABC bittorrent client using the web service.  It acts almost exactly like ABC allowing you to keep your resource hungry torrents on another computer while retaining the ease of use offered by ABC
abcdp	A CD Player for Linux console.
abcgrid	abcgrid stands for Application for Bioinformatics Computing Grid which is a\nclient/server package for small and mid-scale biology labs.
abchr	ABC/HR is an audio comparison tool that allows users to self-conduct double-blind listening tests of digital audio codecs.
abci	This project aims at creating a way to create a way to control computers and other devices remotely with just hand gestures. This is an attempt to develop alternatives to the keyboard-and-mouse interfaces.
abcl	The software is meant for Bandwidth management on LANs. It aims to provide a userfriendly, remote interface to bandwidth management. Also, included are a number of user selectable (host specific) automatic bandwidth control algorithms.
abcl-web	ABCL-web is a web-framework using Armed Bear Common Lisp as a Java Servlet
abclinux	ABC Linux distribution is here to help you configure your Linux box as a school server/workstation.
abcmr	This program allows to condense a sequence of whole rests in an ABC format music file. Is a PERL script. The output is directed to standard out and can be to a file using \\&quot;&gt;\\&quot;
abcmusiex	ABC Music Exercises generates sight reading exercise files: ABCs, printable PS/PDFs, audio WAV and MP3. Student must follow audio practice while read and playing parts on his own instrument. Output highly configurable. Runs on Linux and Windows. Great!
abcp	ABCp seeks to serve as a universal parser engine and API for ABC notation as detailed at http://www.abcmusicnotation.org/ for use by any ABC software developer on any platform.
abcpaint	ABCPaint is an educational tool to learn about letter, color and numbers.
abcplus	Classical music extensions for the ABC music notation language.
abcremotedotnet	A library to communicate with ABCTorrent web interface
abcrypt	A C++/Qt program for use in encrypting and decrypting simple substitution cyphers. These cyphers are often found in newspapers and various puzzle books.
abcsync	ABC-Sync synchronize Adresses-, Bookmark- and Calendar-Entry&#039;s over various Platforms and Applications
abcwebclient	minimal, fast and full functionally torrent web client-frontend to ABC [Yet Another Bittorrent Client] v2.69 - v3.1 includes minimal user management and ability to connect to multiple server from server list.
abd	ABCD is an address book server/client system. It is intended to be user friendly, cross platform, and awesome.
abdb	XML schema to specify relational database administration and operations.  Uses XML, XSLT stylesheets and Java code to allow applications to use advance features of databases and have complex queries without being tied to a specific relational database.
abdbcommerce	AbDBCommerce is an object oriented e-commerce sytem. It features an abstraction database layer that permits to use any DBMS, and it is free from layout choices.
abdcalendar	ABDCalendar is a javascript framework for those that want to display a calendar in their webpages. It supports a month view and a daily view. You can add events or show them on the schedule.
abdf1	Allen Bradley (AB) DF1 Protocol RS232 for Micrologix, SLC500, PLC5. Written in Visual Basic 2005
abducted-irc	A varity of IRC related services from: SMSServ Anope Modules/Modified Anope(AbAnope) to Unreal Modules/Modified Unreal(AbUnreal) to an IRC based RPG with addon packs, and web items: AbBash &amp; PeerWars irc.abducted.us #abducted - http://dev.abducted.us
abdymok	aviation equivalent of a looking for the black box after the plane crash
abe	A scrolling, platform-jumping, key-collecting, ancient pyramid exploring game, vaguely in the style of similar games for the Commodore+4. The game is intended to show young people (I&#039;m writing it for my son&#039;s birthday) all the cool games they m
abe-module	ABE is a small, fast and convenient program for visualizing and modeling experimental bioassay data. The data can be modeled using either polynomials or a more specific four-parameter model based upon the standard, sigmoidal dose-response curve.
abeam	An object-based database manager for marine survey data.
abegroup	AbeGroup is a software package that will perform basic functions on algebraic groups. The first goal is to input a group, given the generators, and AbeGroup will determine whether or not the group is abelian. Further functionality will be added.
abelard	World wide centralized career resource management network
aben	A new sight of developing. Thinking in human&#039;s concepts and orgnizations. Analysis behaves and effects before the actual building take place. Automatically using the proper algorithms and data model. Based on a large scale descriptive library.
abeni	Abeni is a GUI utility for creating &#039;ebuild&#039; files for the Gentoo Linux distribution.
aberquest	AberQuest is a tool for quest/zone writers of Aber MUDs. With it you can navigate around your quest/zone easily and see how it will look using only your own computer. AberQuest has a nice and intuitive GUI to make this even simpler.
abes	Public description: A new e-learning platform will used in UE project for small and medium size business. Will allow courses managment, and really advanced stats based on interview proposed to company responsible and candidate before and after courses.
abettor	A comprehensive customer support application with an integrated web interface and exceptional scalability/maintainability. Intended for student technical support and developed using open technologies designed from the ground up for exstensibility.
abfm	Anti-Bot Form Mailer is a PHP script that helps webmasters reducing spam received via their contact or support form.
abhmanager	Software for several management purposes. Using SQL Databases and being extandable via plugins.
abhyaas	This project is inspired by &quot;lletters&quot;. It aims at displaying images and words corrosponsing to alphabates but it integrates a &quot;Text-To-Speech&quot; (TTS) system to say out the words. The word list and corrosponding images will be loaded f
abi	Set of tools for working with Mondrian server including a Mondrian Schema creation Wizard, Mondrian Schema Admin, and a Web Portal
abi2006	A SDL based multiplatform jump and run game, after River City Ransom; starring teachers of Gymnasium Miesbach.
abia	This project aims to provide a tool for the Management of an Portfolio of Investments based in Distributed Artificial Inteligence. Agents encapsulate different investment analysis technics and collaborate among themselves to provide a better analisys
abidump	Utility to dump undecorated C++ symbols from C/C++ libraries in a sorted fashion. Useful for testing new library versions for backwards ABI compatibility, among other things. Requires a valid install of VS.Net 2003 or VS 2005, and the .NET 2.0 framework.
abifportal	A Java based grouping of components used to implement the Australian Biological Information Facility (ABIF) distributed architecture. The components talk to one another via SOAP web services and HTTP URLs.
abigail	Abigail is a Content Management System built on the J2EE framework.  It utilises several other open source projects eg Hibernate, Struts and Log4J.  The aim is to provide a CMS that is easy to use and maintain.
abilities	The objective of ABILITIES is to design and develop a federated architecture implemented by a set of intelligent and adaptive UBL active messages and basic interoperability services, which will support SMEs EAI in e-commerce contexts.
abill	abill is a simple billing system for small ISPs. It consolidates RADIUS authorization and accounting modules, mail traffic, tariffs, Web user statistics, and administration management tools.
abills	Billing system with different abilities. Dialup/VPN/VoIP, NetFlow, Squid Monitoring, GNU gatekeeper Monitoring, CMTS BSR1000 monitoring.
abinfo	This is an addon created to aid players in Arathi Basin indicating at what time they will win the game at the current rate.
abios-rtool	The Affordable BIOS Restoration Tool provides VHDL and C code to recover from failed BIOS upgrades using affordable CPLD&#039;s. EEPROM&#039;s and Flash chips can be restored with this flash programmer. Interfaces for DIP and tsop packages are being deve
abir	It is a Small but Effective template engine in PHP. I have started it few days ago. And I&#039;v long plane with this one. If any of you interested to continue with me let me know. Your comments always help me to improve it.
abirom	Installer/Launcher for a Muldimedia-CDROM. This project has ceased.
abiss	ABISS (Active Block I/O Scheduling System) provides real-time and prioritized best-effort services for disk IO
